Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
Uncovering apparent incomplete penetrance of TSC1/TSC2 variants: Insights from multiple population cohorts and implications for newborn screening.,"Tuberous sclerosis complex (TSC) is a genetic multisystem disorder regarded as having near-complete penetrance, a view largely derived from clinically ascertained cohorts. As genomic newborn screening is piloted internationally, robust estimates of penetrance and expressivity in unselected populations are urgently needed. We analysed genome sequencing data from >900,000 adults in UK Biobank (UKB) and the All of Us Research Program (AoU), representing multiple genetic ancestries, to identify individuals carrying high-confidence ACMG/AMP (likely) pathogenic TSC1/TSC2 variants. Electronic health records and self-reported data were interrogated for TSC-related phenotypes, including diagnostic codes, and evidence of epilepsy, chronic kidney disease and other hamartomas. We identified 61 adults with (likely) pathogenic TSC1/TSC2 variants and phenotype data available. Only 20/61 (33%) had a recorded diagnosis of TSC and a further 8/61 (13%) had at least one TSC phenotype; 33/61 (54%) had no recorded TSC diagnosis, manifestations or suggestive medication history, despite median age ≥55 years (UKB ≥ 75 years) with extensive longitudinal healthcare data. Apparent reduced penetrance was observed for TSC1 in both cohorts (46.6% UKB, 46.1% AoU), consistent with previously reported milder phenotypes associated with this gene. Apparent TSC2 penetrance was also incomplete (27.8% UKB, 66.7% AoU, p = 0.038, not significant after Bonferroni correction). Borderline significant apparent penetrance differences between UKB and AoU were not explained by gene, variant class, or ClinVar designation, but may reflect healthy volunteer bias in UKB. Overall, these findings challenge the assumption of near-complete penetrance for (likely) pathogenic TSC1/TSC2 variants and have important implications for genomic newborn screening, variant interpretation and counselling of asymptomatic carriers.",2026,2026,European journal of human genetics : EJHG,European journal of human genetics : EJHG,10.1038/s41431-026-02107-9,https://pubmed.ncbi.nlm.nih.gov/42151584/,[],[],"['J Fasham', 'A McPhater', 'R Whittington', 'A T Pagnamenta', 'T S Hall', 'I R Berry', 'M N Weedon', 'E L Baple', 'C F Wright', 'L Jackson']",42151584,European journal of human genetics : EJHG. 2026 May 18. doi: 10.1038/s41431-026-02107-9.,19-05-2026,1377822,,J Fasham,European journal of human genetics : EJHG. 2026 May 18. doi: 10.1038/s41431-026-02107-9.
Correction: Treatment preferences for comorbid obesity and obstructive sleep apnea (PRO-CON OSA) survey: Patient and provider preferences for CPAP and/or tirzepatide.,,2026,2026,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,10.1007/s44470-026-00074-y,https://pubmed.ncbi.nlm.nih.gov/42151574/,[],[],"['Christopher N Schmickl', 'Athiwat Tripipitsiriwat', 'Babak Mokhlesi', 'Monica Mallampalli', 'Brandon Nokes', 'Vaishnavi Kundel', 'Kathy Page', 'Christina Finch', 'Lucas Donovan', 'Mira Tadros', 'Ravi S Aysola', 'Andrey Zinchuk', 'Tracy Zvenyach', 'M Safwan Badr', 'Sanjay R Patel', 'Jeremy E Orr', 'Robert L Owens', 'Chris Lindsell', 'Jennifer L Martin', 'Atul Malhotra', 'PARADIGM-SLEEP Investigators']",42151574,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine. 2026 May 18. 22(1). doi: 10.1007/s44470-026-00074-y.,19-05-2026,,,Christopher N Schmickl,Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine. 2026 May 18. 22(1). doi: 10.1007/s44470-026-00074-y.
Mapping methods and tools for measuring patient experience in oncology settings: a scoping review.,"Patient experience (PX) is crucial for evaluating healthcare quality in oncology, encompassing comprehensive interactions from diagnosis through survivorship. However, the field lacks consensus on PX measurement and its conceptualization. The aim of this scoping review was to systematically map methods and tools used to measure PX in original studies, while providing detailed characteristics of each tool.",2026,2026,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-026-10797-6,https://pubmed.ncbi.nlm.nih.gov/42151551/,"['Cancer', 'Healthcare quality', 'Measurement', 'Oncology', 'PREMs', 'Patient experience', 'Patient-reported experience measures']","['Humans', 'Neoplasms', 'Medical Oncology', 'Psychometrics', 'Surveys and Questionnaires', 'Quality of Health Care', 'Patient Satisfaction']","['Julia Charlotte Kowalska', 'Dawid Storman', 'Kamila Michalska', 'Mateusz Świerz', 'Małgorzata Maraj', 'Joanna Zając', 'Alicja Domagała']",42151551,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer. 2026 May 18. 34(6). doi: 10.1007/s00520-026-10797-6.,19-05-2026,12254963,,Julia Charlotte Kowalska,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer. 2026 May 18. 34(6). doi: 10.1007/s00520-026-10797-6.
Structural Ableism and Healthcare Transition for Adults with Intellectual and/or Developmental Disabilities.,"Young adulthood is a period of changes, including transitioning from pediatric to adult healthcare; this is often an informal, disjointed process of securing new insurance and finding adult providers. Children and youth with special healthcare needs (CYSHCN) have more contact with the healthcare system than their peers, thus presenting more opportunities for gaps in care and consequently negative health outcomes during healthcare transition. The discontinuities between pediatric and adult healthcare are particularly consequential for the subset of individuals with intellectual and/or developmental disabilities (I/DD), especially those who will not develop autonomy and the capacity to function on their own. While parents and other caregivers often try to bridge the gaps, transition can be confusing or even dangerous because of ableist assumptions about what it means to be ""an adult"" patient. When independence is built into policies, procedures, and expectations that paradoxically limit access to and participation in healthcare spaces or services, that is structural ableism. This perspective provides examples of structural ableism in healthcare transition and offers suggestions for how a re-orientation toward radical inclusion for those who need it most can enable better care for all.",2026,2026,Journal of general internal medicine,Journal of general internal medicine,10.1007/s11606-026-10517-0,https://pubmed.ncbi.nlm.nih.gov/42151527/,"['Autism', 'CYSHCN', 'I/DD', 'ableism', 'children and youth with special healthcare needs', 'healthcare transition', 'intellectual and/or developmental disability', 'structural ableism']",[],"['Kristen Ann Ehrenberger', 'Diana Mendoza-Cervantes', 'Jennifer L Baldwin']",42151527,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10517-0.,19-05-2026,11184493,,Kristen Ann Ehrenberger,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10517-0.
GLP-1 Receptor Agonist Treatment and Health Outcomes in Methadone-Treated Patients with Opioid Use Disorder and Diabetes.,To investigate whether the use of glucagon-like peptide-1 receptor agonists (GLP-1 RAs) in methadone-treated patients with opioid use disorder (OUD) and type 2 diabetes (T2D) is associated with improved cardiometabolic and mental health outcomes.,2026,2026,Journal of general internal medicine,Journal of general internal medicine,10.1007/s11606-026-10515-2,https://pubmed.ncbi.nlm.nih.gov/42151525/,"['addiction', 'healthcare utilization', 'homelessness', 'insulin', 'metabolic syndrome', 'multidisciplinary', 'prediabetes', 'reward']",[],"['Jane Y Pan', 'Igor Elman', 'Krisha Panchal', 'Kathryn Moynihan Ramsey', 'Mark Albanese', 'Dan J Elman', 'David J Ramsey']",42151525,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10515-2.,19-05-2026,10656052,,Jane Y Pan,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10515-2.
"""Who's on Backup?""-Exploring Internal Medicine Residency Backup Coverage Systems: Findings from a National Survey.",Little is known about backup coverage systems for clinical coverage when resident physicians call in for acute absences.,2026,2026,Journal of general internal medicine,Journal of general internal medicine,10.1007/s11606-026-10486-4,https://pubmed.ncbi.nlm.nih.gov/42151524/,"['attitude of physicians', 'graduate medical education', 'illness behavior', 'physician workforce']",[],"['Emily S Wang', 'Joel C Boggan', 'Emily Leasure', 'Daniel Kim', 'Lydia Redway', 'Erica N Johnson', 'Patricia F Kao', 'Steven J Durning', 'Mark Rasnake']",42151524,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10486-4.,19-05-2026,7162741,,Emily S Wang,Journal of general internal medicine. 2026 May 18. doi: 10.1007/s11606-026-10486-4.
An explainable AI framework integrating machine and deep learning models for multi-species DNA functional group classification.,"DNA functional group classification across species plays a crucial role in understanding genetic diversity, evolutionary relationships and biological function. The increasing availability of genomic data has led to the use of machine learning and deep learning methods for identifying functional patterns within DNA sequences. However, the interpretability of these models remains a challenge in validating biological relevance. This study presents an explainable AI framework that integrates machine learning and deep learning models for multi-species DNA functional group classification. The functional groups represent gene families, including transcription factors and kinases, and the classification task is carried out on Human, Chimpanzee, Dog, and a custom Combined dataset merging sequences from all three species. The DNA sequences were transformed into k-mers to capture local compositional patterns before training. Following a controlled hyperparameter tuning strategy, the Logistic Regression model consistently achieved the highest MCC and F1-scores across all evaluated datasets. While deep learning architectures captured longer motif dependencies, classical models showed stronger generalization across species. A multi-level XAI analysis was conducted using techniques such as Feature Importance, Saliency Maps, Integrated Gradients, GradientSHAP, and Attention Heatmaps. The analysis identified consensus motifs, cross-dataset and cross-model motif patterns, and evaluated model stability based on motif overlap and Jaccard similarity, as well as model fidelity based on performance drops after masking model-identified motifs.",2026,2026,Scientific reports,Scientific reports,10.1038/s41598-026-53075-5,https://pubmed.ncbi.nlm.nih.gov/42151513/,"['Attention heatmaps', 'Bioinformatics', 'DNA functional group classification', 'Deep learning', 'Explainable AI framework', 'Healthcare AI', 'Machine learning', 'k-mers']",[],"['Pratik Chakraborty', 'P B Shanthi']",42151513,Scientific reports. 2026 May 18. doi: 10.1038/s41598-026-53075-5.,19-05-2026,,,Pratik Chakraborty,Scientific reports. 2026 May 18. doi: 10.1038/s41598-026-53075-5.
Impact of beneficiary status on bariatric surgery outcomes in a military treatment facility.,"Retirees and dependents represent demographically and clinically distinct beneficiary groups within the Military Health System (MHS). We assessed whether beneficiary status influences perioperative outcomes, healthcare utilization, and weight loss after bariatric surgery.",2026,2026,Surgical endoscopy,Surgical endoscopy,10.1007/s00464-026-12860-z,https://pubmed.ncbi.nlm.nih.gov/42151465/,"['Bariatric surgery', 'Beneficiary', 'Dependent', 'Healthcare utilization', 'Retiree']",[],"['Michael T Olson', 'Yun Beom Lee', 'Pamela Masella', 'Brian D Layton']",42151465,Surgical endoscopy. 2026 May 18. doi: 10.1007/s00464-026-12860-z.,19-05-2026,4010088,,Michael T Olson,Surgical endoscopy. 2026 May 18. doi: 10.1007/s00464-026-12860-z.
A deep learning model to dynamically predict cancer-associated thromboembolism in large-scale healthcare systems.,"Venous thromboembolism (VTE) is a leading cause of preventable death among patients undergoing systemic treatment for cancer. Studies suggest that treatment strategies such as direct oral anticoagulant administration can significantly reduce the likelihood of VTE. Therefore, identifying people at high risk is of critical importance. Leveraging electronic health records (EHRs) from the U.S. Veterans Affairs (VA) healthcare system, we developed a transformer model to predict VTE risk in 80,808 cancer patients following the initiation of systemic treatment. The model uses longitudinal diagnostic codes, laboratory values, and demographic data. The proposed transformer model dynamically predicts VTE risk in 3-month quarterly intervals over the year following systemic treatment, achieving progressively improved performance across quarters (AUC: 0.68-0.77). The model is similarly performant on the external validation cohort from the Harris Health System (HHS) with 9752 patients (AUC: 0.68-0.74). By improving its predictions as a patient's history evolves, this dynamic model surpasses prior static risk scores and better supports actionable decisions deeper into the treatment course.",2026,2026,NPJ digital medicine,NPJ digital medicine,10.1038/s41746-026-02730-2,https://pubmed.ncbi.nlm.nih.gov/42151458/,[],[],"['Tianshe He', 'Chunlei Zheng', 'Jennifer La', 'Dang Pham', 'Omid Jafari', 'Jamie Strampe', 'Karlynn Dulberger', 'Jaime Ramos-Cejudo', 'J Michael Gaziano', 'Nhan V Do', 'Vipul Chitalia', 'Katya Ravid', 'Ang Li', 'Nathanael R Fillmore']",42151458,NPJ digital medicine. 2026 May 18. doi: 10.1038/s41746-026-02730-2.,19-05-2026,,,Tianshe He,NPJ digital medicine. 2026 May 18. doi: 10.1038/s41746-026-02730-2.
Leveraging computerized adaptive testing for cost-effective evaluation of large language models in medical benchmarking.,"Large language models (LLMs) are increasingly applied in healthcare, yet their evaluation relies predominantly on static benchmarks that are costly, contamination-prone, and lack calibrated measurement properties for fine-grained performance tracking. We developed and validated a computerized adaptive testing (CAT) framework grounded in item response theory to enable scalable, psychometrically rigorous assessment of standardized medical knowledge in LLMs. A two-phase study comprising Monte Carlo simulations and empirical evaluation of 38 LLMs was conducted between July and September 2025. The CAT protocol achieved a near-perfect correlation with full-bank results (r = 0.988) using only 1.3% of items. Evaluation time decreased from 6.85 hours to 8.4 min per model, and token usage dropped from 1.77 million to 0.03 million. Model rankings were fully preserved (Spearman's ρ = 1.0). At current API pricing, per-model evaluation costs fell from approximately $1,475 to under $5. This adaptive methodology serves as an essential pre- screening and continuous monitoring tool under a standardized testing protocol. Crucially, it is not a substitute for real-world clinical validation or safety-oriented prospective studies; rather, it enables developers and healthcare institutions to implement rigorous, high-frequency, evidence-based evaluation of foundational knowledge prior to more resource-intensive downstream testing.",2026,2026,NPJ digital medicine,NPJ digital medicine,10.1038/s41746-026-02671-w,https://pubmed.ncbi.nlm.nih.gov/42151446/,[],[],"['Tianpeng Zheng', 'Zhehan Jiang', 'Jiayi Liu', 'Shicong Feng']",42151446,NPJ digital medicine. 2026 May 18. doi: 10.1038/s41746-026-02671-w.,19-05-2026,,,Tianpeng Zheng,NPJ digital medicine. 2026 May 18. doi: 10.1038/s41746-026-02671-w.
Pay It Forward: Analysis of a novel peer-to-peer support initiative for individuals receiving treatment for head and neck cancer.,"'Pay It Forward' is a voluntary, anonymous peer-to-peer support initiative. During chemoradiotherapy (CRT) treatment for head and neck cancer, participants receive a handwritten card of support from someone who has completed the same treatment. After recovery, individuals write their own card to assist a future person undergoing CRT. This study examined participants' experience of the initiative and explored potential psychological benefits.",2026,2026,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-026-10776-x,https://pubmed.ncbi.nlm.nih.gov/42151420/,"['Distress', 'Head and neck cancer', 'Peer-to-peer support', 'Radiotherapy']","['Humans', 'Male', 'Female', 'Peer Group', 'Aged', 'Head and Neck Neoplasms', 'Middle Aged', 'Prospective Studies', 'Social Support', 'Chemoradiotherapy', 'Surveys and Questionnaires', 'Interviews as Topic', 'Adult', 'Aged, 80 and over']","['Matthew Mason', 'Justin Roe', 'Christine Paul', 'Cassandra White', 'Rosemary Brezmen', 'Claire Jeans']",42151420,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer. 2026 May 18. 34(6). doi: 10.1007/s00520-026-10776-x.,19-05-2026,12125069,,Matthew Mason,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer. 2026 May 18. 34(6). doi: 10.1007/s00520-026-10776-x.
