Title,Abstract,Year_Published,Publication Year,Source,Journal/Book,DOI,Download_URL,Keywords,MeSH_Terms,Authors,PMID,Citation,Create Date,PMCID,NIHMS ID,First Author,Reference
"Automatic Speaker Recognition System Based on Gaussian Mixture Models, Cepstral Analysis, and Genetic Selection of Distinctive Features.","This article presents the Automatic Speaker Recognition System (ASR System), which successfully resolves problems such as identification within an open set of speakers and the verification of speakers in difficult recording conditions similar to telephone transmission conditions. The article provides complete information on the architecture of the various internal processing modules of the ASR System. The speaker recognition system proposed in the article, has been compared very closely to other competing systems, achieving improved speaker identification and verification results, on known certified voice dataset. The ASR System owes this to the dual use of genetic algorithms both in the feature selection process and in the optimization of the system's internal parameters. This was also influenced by the proprietary feature generation and corresponding classification process using Gaussian mixture models. This allowed the development of a system that makes an important contribution to the current state of the art in speaker recognition systems for telephone transmission applications with known speech coding standards.",2022,2022,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s22239370,https://pubmed.ncbi.nlm.nih.gov/36502072/,"['Gaussian mixture model', 'cepstral analysis', 'genetic algorithms', 'speaker recognition', 'system comparison', 'system identification', 'system verification']","['Speech', 'Speech Recognition Software', 'Speech Perception', 'Recognition, Psychology', 'Selection, Genetic']","['Kamil A Kamiński', 'Andrzej P Dobrowolski']",36502072,"Sensors (Basel, Switzerland). 2022 Dec 01. 22(23). doi: 10.3390/s22239370.",12-12-2022,PMC9738489,,Kamil A Kamiński,"Sensors (Basel, Switzerland). 2022 Dec 01. 22(23). doi: 10.3390/s22239370."
Lambda-vector modeling temporal and channel interactions for text-independent speaker verification.,"Most of the current excellent models in speaker verification are ResNet-based deep models and attention-based models. These models have a general weakness, which is the large number of parameters and high hardware requirements. On the other hand, many deep structures only generate embedding features from the features extracted by the last frame-level layer, which causes shallow features and channel-related features to be ignored. To solve these problems, this paper proposed a shallow speaker verification model based on Lambda-vector, its main structure is composed of three Lambda-SE modules. The module extracts long-distance dependencies between frame-level features and channel-related interaction information to enhance representation of features. Meanwhile, so that adequately mine the information in deep and shallow features, the model introduces multi-layer feature aggregation to fuse the features of different frame-level layers together. It can increase the detailed information in the deep features and improve the model's ability to represent complex information. The experimental results on the public datasets Voxceleb1 and Voxceleb2 show that the model has more stable training speed, fewer model parameters, and better identification performances than baseline models.",2022,2022,Scientific reports,Scientific reports,10.1038/s41598-022-22977-5,https://pubmed.ncbi.nlm.nih.gov/36307520/,[],[],"['Guangcun Wei', 'Hang Min', 'Yunfei Xu', 'Yanna Zhang']",36307520,Scientific reports. 2022 Oct 28. 12(1):18171. doi: 10.1038/s41598-022-22977-5.,29-10-2022,PMC9616814,,Guangcun Wei,Scientific reports. 2022 Oct 28. 12(1):18171. doi: 10.1038/s41598-022-22977-5.
Bimodal Cochlear Implant Processing based on Assisted Hearing algorithms with CCi-MOBILE: an open-source research platform.,"While speech understanding for cochlear implant (CI) and Hearing aid (HA) users in quiet is relatively effective, listeners experience difficulty in identification of speakers and sound location. Previous studies have reported improved localization and better speech perception when the unilateral CI is coupled with a HA in the contralateral ear. This is referred to as bimodal presentation of speech or electric and acoustic stimulation (EAS). Various CI research interfaces developed by either academic or industry sponsored research teams support proposed signal processing and psychoacoustic investigations but have limited ability to efficiently validate bimodal algorithms. Platforms that support bimodal testing (CI and HA) are either not portable or only provide limited features due to proprietary parameters/routines. CCi-MOBILE, an open-source, portable signal processing research device, developed by UT-Dallas, enables electric and acoustic stimulations simultaneously, thus providing researchers the opportunity to explore new technology and scientific paradigms for the hearing impaired. In the present work, we provide verification and implementation of synchronized bimodal (electric-acoustic) output in an authenticated and efficient manner to support sound and acoustic localization algorithms for experimental investigations.",2022,2022,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/EMBC48229.2022.9871695,https://pubmed.ncbi.nlm.nih.gov/36086056/,[],"['Algorithms', 'Cochlear Implantation', 'Cochlear Implants', 'Hearing', 'Hearing Aids']","['Ria Ghosh', 'John H L Hansen']",36086056,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference. 2022 Jul. 2022:4265-4268. doi: 10.1109/EMBC48229.2022.9871695.,11-09-2022,,,Ria Ghosh,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference. 2022 Jul. 2022:4265-4268. doi: 10.1109/EMBC48229.2022.9871695.
Identification of the hsa_circ_0039466/miR-96-5p/FOXO1 regulatory network in hepatocellular carcinoma by whole-transcriptome analysis.,"Circular RNAs (circRNAs) are important for the process of cancer initiation and progression. However, the role of circRNAs in hepatocellular carcinoma (HCC) remains incompletely understood. Therefore, we further explored the expression network of circRNAs in HCC.",2022,2022,Annals of translational medicine,Annals of translational medicine,10.21037/atm-22-3147,https://pubmed.ncbi.nlm.nih.gov/35965793/,"['Gene Expression Omnibus (GEO)', 'Hepatocellular carcinoma (HCC)', 'The Cancer Genome Atlas (TCGA)', 'circular RNA hsa_circ_0039466', 'competitive endogenous RNA (ceRNA)']",[],"['Feng Yuan', 'Yongchang Tang', 'Mingbo Cao', 'Yupeng Ren', 'Yuxuan Li', 'Gaoyuan Yang', 'Qifeng Ou', 'Francisco Tustumi', 'Giovanni Battista Levi Sandri', 'Driss Raissi', 'Christine Pocha', 'Meihai Deng', 'Zhicheng Yao']",35965793,Annals of translational medicine. 2022 Jul. 10(14):769. doi: 10.21037/atm-22-3147.,16-08-2022,PMC9372669,,Feng Yuan,Annals of translational medicine. 2022 Jul. 10(14):769. doi: 10.21037/atm-22-3147.
Improvement of Speech Recognition Technology in Piano Music Scene Based on Deep Learning of Internet of Things.,"The main goal of speech recognition technology is to use computers to convert human analog speech signals into computer-generated signals, such as behavior patterns or binary codes. Different from speaker identification and speaker confirmation, the latter attempts to identify or confirm the speaker who uttered the speech rather than the lexical content contained in it. The short-term idea is that it should be able to record the musical sound played by the user with a certain musical instrument, then extract the note and duration information from it, and finally generate the corresponding MID file according to the MIDI standard, which can set the type of musical instrument in advance to complete the function of musical sound transformation, such as playing with a harmonica, and playing the MID at the end is the piano sound. With the rapid development of the mobile Internet, fields such as machine learning, electronic communication, and navigation have placed high demands on real-time and standard text recognition technology. This paper merges the sound of visual music into text-based data set training, uses the exported scanner features for model training, uses the model to extract features, then uses the features for prior training, and then uses pretraining. DNN results show that the combined training of target prevention and expansion plans, by replacing long-term and short-term memory networks, end-to-end speech recognition programs, and behavioral tests organized by mobile devices, can provide a larger receptive field combined with expanded convolution instead of long and short periods. The experimental results show that when the input sampling point is 2400, it can be seen that the convergence speed of the model becomes slower with more than 90 iterations and the loss of the model on the verification set increases with the increase in the number of iterations. This shows that the model in this paper can fully meet the needs of speech recognition in piano music scenes.",2022,2022,Computational intelligence and neuroscience,Computational intelligence and neuroscience,10.1155/2022/4024511,https://pubmed.ncbi.nlm.nih.gov/35875750/,[],"['Deep Learning', 'Humans', 'Internet of Things', 'Speech', 'Speech Perception', 'Technology']",['Jie Bai'],35875750,Computational intelligence and neuroscience. 2022. 2022:4024511. doi: 10.1155/2022/4024511.,26-07-2022,PMC9300338,,Jie Bai,Computational intelligence and neuroscience. 2022. 2022:4024511. doi: 10.1155/2022/4024511.
H-VECTORS: Improving the robustness in utterance-level speaker embeddings using a hierarchical attention model.,"In this paper, a hierarchical attention network is proposed to generate robust utterance-level embeddings (H-vectors) for speaker identification and verification. Since different parts of an utterance may have different contributions to speaker identities, the use of hierarchical structure aims to learn speaker related information locally and globally. In the proposed approach, frame-level encoder and attention are applied on segments of an input utterance and generate individual segment vectors. Then, segment level attention is applied on the segment vectors to construct an utterance representation. To evaluate the quality of the learned utterance-level speaker embeddings on speaker identification and verification, the proposed approach is tested on several benchmark datasets, such as the NIST SRE2008 Part1, the Switchboard Cellular (Part1), the CallHome American English Speech ,the Voxceleb1 and Voxceleb2 datasets. In comparison with some strong baselines, the obtained results show that the use of H-vectors can achieve better identification and verification performances in various acoustic conditions.",2021,2021,Neural networks : the official journal of the International Neural Network Society,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2021.05.024,https://pubmed.ncbi.nlm.nih.gov/34098246/,"['Attention mechanism', 'Hierarchical attention', 'Speaker embeddings', 'Speaker identification', 'Speaker verification']","['Language', 'Speech']","['Yanpei Shi', 'Qiang Huang', 'Thomas Hain']",34098246,Neural networks : the official journal of the International Neural Network Society. 2021 Oct. 142:329-339. doi: 10.1016/j.neunet.2021.05.024.,08-06-2021,,,Yanpei Shi,Neural networks : the official journal of the International Neural Network Society. 2021 Oct. 142:329-339. doi: 10.1016/j.neunet.2021.05.024.
Getting science priorities straight: how to increase the reliability of specimen identification?,"'We advise the authors to find a native English speaker to proofread the manuscript'. This is a standard feedback journals give to non-native English speakers. Journals are justifiably concerned with grammar but do not show the same rigour about another step crucial to biological research: specimen identification. Surveying the author guidelines of 100 journals, we found that only 6% of them request explicitly citation of the literature used in specimen identification. Authors hamper readers from contesting specimen identification whenever vouchers, identification methods, and taxon concepts are not provided. However, unclear taxonomic procedures violate the basic scientific principle of reproducibility. The scientific community must continuously look for practical alternatives to improve taxonomic identification and taxonomic verification. We argue that voucher pictures are an accessible, cheap and time-effective alternative to mitigate (not abolish) bad taxonomy by exposing preventable misidentifications. Voucher pictures allow scientists to judge specimen identification actively, based on available data. The popularization of high-quality image devices, photo-identification technologies and computer vision algorithms yield accurate scientific photo-documentation, improving taxonomic procedures. Taxonomy is timeless, transversal and essential to most scientific disciplines in biological sciences. It is time to demand rigour in taxonomic identifications.",2021,2021,Biology letters,Biology letters,10.1098/rsbl.2020.0874,https://pubmed.ncbi.nlm.nih.gov/33906395/,"['misidentification', 'public databases', 'science policy', 'taxonomy', 'voucher']",['Reproducibility of Results'],"['Filipe Michels Bianchi', 'Leonardo Tresoldi Gonçalves']",33906395,Biology letters. 2021 Apr. 17(4):20200874. doi: 10.1098/rsbl.2020.0874.,29-04-2021,PMC8086990,,Filipe Michels Bianchi,Biology letters. 2021 Apr. 17(4):20200874. doi: 10.1098/rsbl.2020.0874.
Speaker recognition based on deep learning: An overview.,"Speaker recognition is a task of identifying persons from their voices. Recently, deep learning has dramatically revolutionized speaker recognition. However, there is lack of comprehensive reviews on the exciting progress. In this paper, we review several major subtasks of speaker recognition, including speaker verification, identification, diarization, and robust speaker recognition, with a focus on deep-learning-based methods. Because the major advantage of deep learning over conventional methods is its representation ability, which is able to produce highly abstract embedding features from utterances, we first pay close attention to deep-learning-based speaker feature extraction, including the inputs, network structures, temporal pooling strategies, and objective functions respectively, which are the fundamental components of many speaker recognition subtasks. Then, we make an overview of speaker diarization, with an emphasis of recent supervised, end-to-end, and online diarization. Finally, we survey robust speaker recognition from the perspectives of domain adaptation and speech enhancement, which are two major approaches of dealing with domain mismatch and noise problems. Popular and recently released corpora are listed at the end of the paper.",2021,2021,Neural networks : the official journal of the International Neural Network Society,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2021.03.004,https://pubmed.ncbi.nlm.nih.gov/33744714/,"['Deep learning', 'Robust speaker recognition', 'Speaker diarization', 'Speaker identification', 'Speaker recognition', 'Speaker verification']","['Deep Learning', 'Noise', 'Speech Recognition Software']","['Zhongxin Bai', 'Xiao-Lei Zhang']",33744714,Neural networks : the official journal of the International Neural Network Society. 2021 Aug. 140:65-99. doi: 10.1016/j.neunet.2021.03.004.,22-03-2021,,,Zhongxin Bai,Neural networks : the official journal of the International Neural Network Society. 2021 Aug. 140:65-99. doi: 10.1016/j.neunet.2021.03.004.
Influence of Upper Airway Surgery on Voice and Speech Recognition.,"Upper airway surgery comprises a set of techniques that modify the anatomy of the vocal tract, including tonsillectomy and septoplasty. The objective of this work is to study the changes in acoustic parameters and the effects on the identification or verification of the speaker through the speech produced after the vocal tract surgeries, comparing them with a control group.",2021,2021,The Journal of craniofacial surgery,The Journal of craniofacial surgery,10.1097/SCS.0000000000007175,https://pubmed.ncbi.nlm.nih.gov/33705004/,[],"['Humans', 'Prospective Studies', 'Speech', 'Speech Acoustics', 'Speech Perception', 'Voice', 'Voice Quality']","['Estefanía Hernández-García', 'Laureano Moro Velazquez', 'Ramón González', 'Juan Ignacio Godino Llorente', 'Guillermo Plaza']",33705004,The Journal of craniofacial surgery. 2021 Mar-Apr 01. 32(2):660-663. doi: 10.1097/SCS.0000000000007175.,12-03-2021,,,Estefanía Hernández-García,The Journal of craniofacial surgery. 2021 Mar-Apr 01. 32(2):660-663. doi: 10.1097/SCS.0000000000007175.
Ar-DAD: Arabic diversified audio dataset.,"The automatic identification and verification of speakers through representative audio continue to gain the attention of many researchers with diverse domains of applications. Despite this diversity, the availability of classified and categorized multi-purpose Arabic audio libraries is scarce. Therefore, we introduce a large Arabic-based audio clips dataset (15810 clips) of 30 popular reciters cantillating 37 chapters from the Holy Quran. These chapters have a variable number of verses saved to different subsequent folders, where each verse is allocated one folder containing 30 audio clips for the declared reciters covering the same textual content. An additional 397 audio clips for 12 competent imitators of the top reciters are collected based on popularity and number of views/downloads to allow for cross-comparison of text, reciters, and authenticity. Based on the volume, quality, and rich diversity of this dataset we anticipate a wide range of deployments for speaker identification, in addition to setting a new direction for the structure and organization of similar large audio clips dataset.",2020,2020,Data in brief,Data in brief,10.1016/j.dib.2020.106503,https://pubmed.ncbi.nlm.nih.gov/33294506/,"['Arabic audio clips', 'Cantillations', 'Deep learning', 'Imitators', 'Machine learning', 'Quran recitations', 'Speaker identification']",[],"['Mohammed Lataifeh', 'Ashraf Elnagar']",33294506,Data in brief. 2020 Dec. 33:106503. doi: 10.1016/j.dib.2020.106503.,10-12-2020,PMC7689366,,Mohammed Lataifeh,Data in brief. 2020 Dec. 33:106503. doi: 10.1016/j.dib.2020.106503.
Phonetic variability constrained bottleneck features for joint speaker recognition and physical task stress detection.,"Normalizing intrinsic variabilities (e.g., variability in speech production brought on by aging, physical or cognitive task stress, Lombard effect, etc.) in speech and speaker recognition models is essential for system robustness. This study focuses on analysis of speech under physical task stress with its application for speaker recognition and physical task stress detection. An innovative framework using deep neural networks (DNNs) for joint text-independent speaker recognition and physical task stress detection is proposed. Instead of processing consecutive feature frames like d-vectors (i.e., average of frame-level speaker specific features extracted with a speaker discriminative trained DNN), phonetic variability constrained feature vectors as inputs to train deep bottleneck neural networks is proposed. More specifically, a universal background model (UBM) with a small number of mixtures is employed to align the acoustic features. The innovative feature representation is then generated by selecting and concatenating frames according to the alignments from the UBM. The benefit of feature rearrangement is twofold. First, phonetic variability is largely constrained in the front-end feature vector. Second, by sampling a determined number of representations for each speaker/utterance, the issue of data imbalance and over-fitting is alleviated. Experiments for speaker recognition and physical stress detection are conducted on the UTScope-Physical Task Stress Corpus. Improved performance in terms of accuracy (for identification/detection task) and Equal Error Rate (for verification task) over a strong i-vector probabilistic linear discriminant analysis system confirms the effectiveness of this proposed method.",2020,2020,The Journal of the Acoustical Society of America,The Journal of the Acoustical Society of America,10.1121/10.0002455,https://pubmed.ncbi.nlm.nih.gov/33261416/,[],"['Discriminant Analysis', 'Neural Networks, Computer', 'Phonetics', 'Speech', 'Speech Recognition Software']","['Chunlei Zhang', 'John H L Hansen']",33261416,The Journal of the Acoustical Society of America. 2020 Nov. 148(5):2912. doi: 10.1121/10.0002455.,03-12-2020,,,Chunlei Zhang,The Journal of the Acoustical Society of America. 2020 Nov. 148(5):2912. doi: 10.1121/10.0002455.
Bidirectional Attention for Text-Dependent Speaker Verification.,"Automatic speaker verification provides a flexible and effective way for biometric authentication. Previous deep learning-based methods have demonstrated promising results, whereas a few problems still require better solutions. In prior works examining speaker discriminative neural networks, the speaker representation of the target speaker is regarded as a fixed one when comparing with utterances from different speakers, and the joint information between enrollment and evaluation utterances is ignored. In this paper, we propose to combine CNN-based feature learning with a bidirectional attention mechanism to achieve better performance with only one enrollment utterance. The evaluation-enrollment joint information is exploited to provide interactive features through bidirectional attention. In addition, we introduce one individual cost function to identify the phonetic contents, which contributes to calculating the attention score more specifically. These interactive features are complementary to the constant ones, which are extracted from individual speakers separately and do not vary with the evaluation utterances. The proposed method archived a competitive equal error rate of 6.26% on the internal ""DAN DAN NI HAO"" benchmark dataset with 1250 utterances and outperformed various baseline methods, including the traditional i-vector/PLDA, d-vector, self-attention, and sequence-to-sequence attention models.",2020,2020,"Sensors (Basel, Switzerland)","Sensors (Basel, Switzerland)",10.3390/s20236784,https://pubmed.ncbi.nlm.nih.gov/33261046/,"['CNN', 'bidirectional attention', 'interactive representation', 'text-dependent speaker verification']","['Algorithms', 'Biometric Identification', 'Neural Networks, Computer']","['Xin Fang', 'Tian Gao', 'Liang Zou', 'Zhenhua Ling']",33261046,"Sensors (Basel, Switzerland). 2020 Nov 27. 20(23). doi: 10.3390/s20236784.",03-12-2020,PMC7730222,,Xin Fang,"Sensors (Basel, Switzerland). 2020 Nov 27. 20(23). doi: 10.3390/s20236784."
Safety practices and opportunities for improvement in brachytherapy: A patient safety practices survey of the American Brachytherapy Society membership.,"Safe delivery of brachytherapy and establishing a safety culture are critical in high-quality brachytherapy. The American Brachytherapy Society (ABS) Quality and Safety Committee surveyed members regarding brachytherapy services offered, safety practices during treatment, quality assurance procedures, and needs to develop safety and training materials.",2020,2020,Brachytherapy,Brachytherapy,10.1016/j.brachy.2020.08.014,https://pubmed.ncbi.nlm.nih.gov/32952055/,"['Brachytherapy', 'Practice survey', 'Quality', 'Safety']","['Brachytherapy', 'Checklist', 'Communication', 'Female', 'Genital Neoplasms, Female', 'Humans', 'Male', 'Organizational Culture', 'Patient Identification Systems', 'Patient Safety', 'Personnel Staffing and Scheduling', 'Prostatic Neoplasms', 'Quality Assurance, Health Care', 'Quality Improvement', 'Radiation Oncology', 'Risk Management', 'Surveys and Questionnaires', 'Time Factors']","['Jason C Sanders', 'Timothy N Showalter', 'Zoubir Ouhib', 'Bruce R Thomadsen', 'Dayee Jacob', 'Manuj Agarwal', ""Gil'ad N Cohen"", 'Matt Giles', 'Geethpriya Palaniswammy', 'Abhishek A Solanki', 'Neil K Taunk', 'Members of the ABS Quality and Safety Committee']",32952055,Brachytherapy. 2020. 19(6):762-766. doi: 10.1016/j.brachy.2020.08.014.,22-09-2020,PMC8380311,NIHMS1732110,Jason C Sanders,Brachytherapy. 2020. 19(6):762-766. doi: 10.1016/j.brachy.2020.08.014.
Standardization of the Prosody in Use Battery (PUB): a speech prosody perception test in Danish.,"Assessment of prosody perception may be useful in a number of clinical scenarios, including the rehabilitation of cochlear implant recipients. It is with this group in mind that we have derived and standardized a battery of tests that assess speech prosody perception in the Danish language. The prosodic contrasts included in the battery are vowel length, compounds and phrases, emotions, questions and statements, prominence and pronoun reference, all of which are commonly encountered in everyday communication. Lists of candidate stimuli were compiled and recorded by a representative speaker of Danish. All candidate stimuli were presented to normal hearing subjects (",2019,2019,Clinical linguistics & phonetics,Clinical linguistics & phonetics,10.1080/02699206.2019.1615990,https://pubmed.ncbi.nlm.nih.gov/31112661/,"['Danish', 'assessment', 'cochlear implant', 'prosody']","['Adult', 'Denmark', 'Emotions', 'Female', 'Humans', 'Language', 'Male', 'Speech Discrimination Tests', 'Speech Perception', 'Young Adult']","['David Jackson Morris', 'Line Burholt Kristensen', 'John Tøndering']",31112661,Clinical linguistics & phonetics. 2019. 33(12):1165-1183. doi: 10.1080/02699206.2019.1615990.,22-05-2019,,,David Jackson Morris,Clinical linguistics & phonetics. 2019. 33(12):1165-1183. doi: 10.1080/02699206.2019.1615990.
Effect of Functional Endoscopic Sinus Surgery on Voice and Speech Recognition.,"Functional Endoscopic Sinus Surgery (FESS) is the surgery of choice for nasal polyposis and chronic rhinosinusitis. The aim of our study is to assess the influence of this surgery in the acoustic parameters of voice, and their implications in the systems of identification or verification of the speaker through the speech.",2020,2020,Journal of voice : official journal of the Voice Foundation,Journal of voice : official journal of the Voice Foundation,10.1016/j.jvoice.2019.02.012,https://pubmed.ncbi.nlm.nih.gov/30853310/,"['Acoustic analysis', 'Automatic identification', 'FESS', 'Formants']","['Acoustics', 'Adult', 'Chronic Disease', 'Endoscopy', 'Female', 'Humans', 'Machine Learning', 'Male', 'Middle Aged', 'Nasal Polyps', 'Pattern Recognition, Automated', 'Prospective Studies', 'Rhinitis', 'Sinusitis', 'Sound Spectrography', 'Speech Production Measurement', 'Speech Recognition Software', 'Time Factors', 'Treatment Outcome', 'Vocal Cords', 'Voice Quality']","['Estefanía Hernández-García', 'Laureano Moro-Velázquez', 'Ramón González-Herranz', 'Juan Ignacio Godino-Llorente', 'Guillermo Plaza']",30853310,Journal of voice : official journal of the Voice Foundation. 2020 Jul. 34(4):650.e1-650.e6. doi: 10.1016/j.jvoice.2019.02.012.,12-03-2019,,,Estefanía Hernández-García,Journal of voice : official journal of the Voice Foundation. 2020 Jul. 34(4):650.e1-650.e6. doi: 10.1016/j.jvoice.2019.02.012.
